codOrgao;nomeOrgao;siglaOrgao
20301;COMISSAO NACIONAL DE ENERGIA NUCLEAR;CNEN
20302;NUCLEBRAS EQUIPAMENTOS PESADOS S/A;NUCLEBRAS
20303;INDUSTRIAS NUCLEARES DO BRASIL S/A;INB
20402;AGENCIA ESPACIAL BRASILEIRA - AEB;AEB
20501;CONSELHO NACIONAL DE DES.CIENT.E TECNOLOGICO;CNPq
20502;FINANCIADORA DE ESTUDOS E PROJETOS;FINEP
20503;FUNDACAO CENTRO TECNOLOGICO PARA INFORMATICA;CTI
24000;MINIST.DA CIENCIA,TECNOL.,INOV.E COMUNICACOES;MCTI
24209;CENTRO NAC DE TECN ELETRONICA AVANCADA S/A;CEITEC 
24801;INSTITUTO NACIONAL DE PESQUISAS ESPACIAIS/MCT;INPE
24802;SUBSECRETARIA DE PLANEJ.,ORCAMENTO E ADM./MCT;SPOA
24803;FINANCIADORA DE ESTUDOS E PROJETOS;FINEP
24901;FUNDO NAC.DE DESENV. CIENTIFICO E TECNOLOGICO;FNDCT
41231;AGENCIA NACIONAL DE TELECOMUNICACOES;ANATEL
41232;FUNDO DE UNIVERS.DOS SERV.DE TELECOMUNICACOES;FUST
41233;FUNDO DE FISCALIZACAO DAS TELECOMUNICACOES;FISTEL
41903;FUNDO P/O DESENV.TECNOL.DAS TELECOMUNICACOES;FUNTTEL
49280;EMPRESA BRASILEIRA DE CORREIOS E TELEGRAFOS;ECT